Phi[deg],Theta[deg],GainRHCP
12,12,2.9674
14,12,2.96773
16,12,2.96872
18,12,2.97037
20,12,2.97266
22,12,2.9756
24,12,2.97915
26,12,2.98332
28,12,2.98808
30,12,2.9934
32,12,2.99927
34,12,3.00566
36,12,3.01254
38,12,3.01988
40,12,3.02765
42,12,3.03582
44,12,3.04436
46,12,3.05322
48,12,3.06238
50,12,3.07179
52,12,3.08141
54,12,3.09121
56,12,3.10115
58,12,3.11118
60,12,3.12127
62,12,3.13137
64,12,3.14146
66,12,3.15148
68,12,3.16141
70,12,3.1712
72,12,3.18082
74,12,3.19025
76,12,3.19943
78,12,3.20836
80,12,3.21699
82,12,3.2253
84,12,3.23326
86,12,3.24087
88,12,3.24808
90,12,3.25489
92,12,3.26129
94,12,3.26725
96,12,3.27278
98,12,3.27785
100,12,3.28247
102,12,3.28664
104,12,3.29035
106,12,3.29361
108,12,3.29642
110,12,3.29878
112,12,3.30071
114,12,3.30222
116,12,3.30332
118,12,3.30402
120,12,3.30434
122,12,3.3043
124,12,3.30392
126,12,3.30322
128,12,3.30222
130,12,3.30094
132,12,3.29941
134,12,3.29766
136,12,3.2957
138,12,3.29357
140,12,3.2913
142,12,3.2889
144,12,3.28641
146,12,3.28385
148,12,3.28126
150,12,3.27866
152,12,3.27607
154,12,3.27353
156,12,3.27106
158,12,3.26868
160,12,3.26643
162,12,3.26432
164,12,3.26238
166,12,3.26063
168,12,3.25909
170,12,3.25779
172,12,3.25674
174,12,3.25595
176,12,3.25545
178,12,3.25525
180,12,3.25535
-180,14,3.15298
-178,14,3.15296
-176,14,3.15339
-174,14,3.15428
-172,14,3.15563
-170,14,3.15745
-168,14,3.15975
-166,14,3.16251
-164,14,3.16575
-162,14,3.16944
-160,14,3.17358
-158,14,3.17816
-156,14,3.18315
-154,14,3.18854
-152,14,3.1943
-150,14,3.2004
-148,14,3.20681
-146,14,3.2135
-144,14,3.22043
-142,14,3.22755
-140,14,3.23484
-138,14,3.24224
-136,14,3.2497
-134,14,3.25718
-132,14,3.26463
-130,14,3.272
-128,14,3.27923
-126,14,3.28628
-124,14,3.29309
-122,14,3.29961
-120,14,3.3058
-118,14,3.3116
-116,14,3.31696
-114,14,3.32185
-112,14,3.32622
-110,14,3.33002
-108,14,3.33323
-106,14,3.3358
-104,14,3.33771
-102,14,3.33893
-100,14,3.33943
-98,14,3.3392
-96,14,3.33821
-94,14,3.33646
-92,14,3.33394
-90,14,3.33064
-88,14,3.32657
-86,14,3.32172
-84,14,3.31611
-82,14,3.30974
-80,14,3.30263
-78,14,3.29481
-76,14,3.28628
-74,14,3.27708
-72,14,3.26724
-70,14,3.25678
-68,14,3.24573
-66,14,3.23414
-64,14,3.22204
-62,14,3.20946
-60,14,3.19646
-58,14,3.18307
-56,14,3.16935
-54,14,3.15532
-52,14,3.14105
-50,14,3.12657
-48,14,3.11194
-46,14,3.0972
-44,14,3.0824
-42,14,3.0676
-40,14,3.05283
-38,14,3.03814
-36,14,3.02359
-34,14,3.00922
-32,14,2.99508
-30,14,2.98121
-28,14,2.96766
-26,14,2.95447
-24,14,2.94168
-22,14,2.92933
-20,14,2.91747
-18,14,2.90614
-16,14,2.89536
-14,14,2.88517
-12,14,2.87561
-10,14,2.86671
-8,14,2.8585
-6,14,2.851
-4,14,2.84423
-2,14,2.83823
0,14,2.83301
2,14,2.82859
4,14,2.82498
6,14,2.82219
8,14,2.82024
10,14,2.81912
12,14,2.81885
14,14,2.81942
16,14,2.82082
18,14,2.82305
20,14,2.82611
22,14,2.82997
24,14,2.83463
26,14,2.84005
28,14,2.84622
30,14,2.85311
32,14,2.8607
34,14,2.86894
36,14,2.87781
38,14,2.88727
40,14,2.89727
42,14,2.90777
44,14,2.91873
46,14,2.93011
48,14,2.94185
50,14,2.9539
52,14,2.96621
54,14,2.97874
56,14,2.99142
58,14,3.00421
60,14,3.01706
62,14,3.02991
64,14,3.04271
66,14,3.05541
68,14,3.06796
70,14,3.08031
72,14,3.09242
74,14,3.10424
76,14,3.11574
78,14,3.12686
80,14,3.13758
82,14,3.14787
84,14,3.15768
86,14,3.16699
88,14,3.17578
90,14,3.18402
92,14,3.1917
94,14,3.1988
96,14,3.20531
98,14,3.21122
100,14,3.21653
102,14,3.22123
104,14,3.22532
106,14,3.22882
108,14,3.23172
110,14,3.23404
112,14,3.23579
114,14,3.23698
116,14,3.23764
118,14,3.23778
120,14,3.23743
122,14,3.23661
124,14,3.23535
126,14,3.23368
128,14,3.23162
130,14,3.22921
132,14,3.22648
134,14,3.22346
136,14,3.22018
138,14,3.21669
140,14,3.213
142,14,3.20917
144,14,3.20523
146,14,3.2012
148,14,3.19713
150,14,3.19306
152,14,3.18901
154,14,3.18502
156,14,3.18113
158,14,3.17736
160,14,3.17376
162,14,3.17035
164,14,3.16716
166,14,3.16423
168,14,3.16158
170,14,3.15923
172,14,3.15723
174,14,3.15558
176,14,3.15431
178,14,3.15344
180,14,3.15298
-180,16,3.04044
-178,16,3.03981
-176,16,3.03973
-174,16,3.04024
-172,16,3.04135
-170,16,3.04306
-168,16,3.04538
-166,16,3.04832
-164,16,3.05187
-162,16,3.05602
-160,16,3.06078
-158,16,3.06611
-156,16,3.07201
-154,16,3.07845
-152,16,3.0854
-150,16,3.09282
-148,16,3.10068
