Phi[deg],Theta[deg],GainLHCP
-170,8,0.303037
-168,8,0.303367
-166,8,0.3038
-164,8,0.304336
-162,8,0.304972
-160,8,0.305707
-158,8,0.306537
-156,8,0.30746
-154,8,0.308471
-152,8,0.309566
-150,8,0.310739
-148,8,0.311984
-146,8,0.313297
-144,8,0.314669
-142,8,0.316094
-140,8,0.317565
-138,8,0.319074
-136,8,0.320613
-134,8,0.322174
-132,8,0.323748
-130,8,0.325329
-128,8,0.326906
-126,8,0.328473
-124,8,0.330022
-122,8,0.331544
-120,8,0.333033
-118,8,0.334482
-116,8,0.335884
-114,8,0.337234
-112,8,0.338525
-110,8,0.339754
-108,8,0.340915
-106,8,0.342005
-104,8,0.343021
-102,8,0.343961
-100,8,0.344823
-98,8,0.345607
-96,8,0.346311
-94,8,0.346935
-92,8,0.347482
-90,8,0.347951
-88,8,0.348346
-86,8,0.348667
-84,8,0.348919
-82,8,0.349103
-80,8,0.349224
-78,8,0.349284
-76,8,0.349289
-74,8,0.349242
-72,8,0.349146
-70,8,0.349007
-68,8,0.348829
-66,8,0.348615
-64,8,0.34837
-62,8,0.348098
-60,8,0.347803
-58,8,0.347488
-56,8,0.347157
-54,8,0.346814
-52,8,0.346461
-50,8,0.346103
-48,8,0.34574
-46,8,0.345377
-44,8,0.345015
-42,8,0.344658
-40,8,0.344306
-38,8,0.343963
-36,8,0.34363
-34,8,0.343308
-32,8,0.343
-30,8,0.342707
-28,8,0.342431
-26,8,0.342174
-24,8,0.341936
-22,8,0.34172
-20,8,0.341527
-18,8,0.341359
-16,8,0.341217
-14,8,0.341103
-12,8,0.341018
-10,8,0.340963
-8,8,0.340942
-6,8,0.340954
-4,8,0.341001
-2,8,0.341085
0,8,0.341207
2,8,0.341367
4,8,0.341567
6,8,0.341808
8,8,0.34209
10,8,0.342413
12,8,0.342777
14,8,0.343182
16,8,0.343628
18,8,0.344112
20,8,0.344635
22,8,0.345194
24,8,0.345787
26,8,0.346411
28,8,0.347065
30,8,0.347744
32,8,0.348445
34,8,0.349164
36,8,0.349896
38,8,0.350638
40,8,0.351384
42,8,0.352129
44,8,0.352868
46,8,0.353595
48,8,0.354305
50,8,0.354992
52,8,0.355651
54,8,0.356275
56,8,0.356859
58,8,0.357398
60,8,0.357887
62,8,0.35832
64,8,0.358693
66,8,0.359001
68,8,0.359241
70,8,0.359408
72,8,0.3595
74,8,0.359513
76,8,0.359446
78,8,0.359296
80,8,0.359063
82,8,0.358745
84,8,0.358342
86,8,0.357855
88,8,0.357283
90,8,0.356629
92,8,0.355894
94,8,0.35508
96,8,0.354189
98,8,0.353224
100,8,0.352188
102,8,0.351085
104,8,0.349919
106,8,0.348694
108,8,0.347412
110,8,0.34608
112,8,0.344702
114,8,0.343282
116,8,0.341824
118,8,0.340334
120,8,0.338816
122,8,0.337276
124,8,0.335717
126,8,0.334145
128,8,0.332564
130,8,0.330979
132,8,0.329395
134,8,0.327815
136,8,0.326246
138,8,0.324691
140,8,0.323155
142,8,0.321642
144,8,0.320156
146,8,0.318703
148,8,0.317286
150,8,0.315909
