Phi[deg],Theta[deg],RealizedGainTheta
68,14,3.57598
70,14,3.57618
72,14,3.56875
74,14,3.55355
76,14,3.53055
78,14,3.49971
80,14,3.46108
82,14,3.41475
84,14,3.36086
86,14,3.29963
88,14,3.23129
90,14,3.15616
92,14,3.07459
94,14,2.98698
96,14,2.89379
98,14,2.79551
100,14,2.69267
102,14,2.58586
104,14,2.47567
106,14,2.36274
108,14,2.24773
110,14,2.13131
112,14,2.01419
114,14,1.89706
116,14,1.78063
118,14,1.66562
120,14,1.55272
122,14,1.44262
124,14,1.336
126,14,1.23352
128,14,1.1358
130,14,1.04345
132,14,0.957021
134,14,0.877047
136,14,0.804012
138,14,0.738355
140,14,0.680465
142,14,0.630685
144,14,0.5893
146,14,0.556543
148,14,0.532591
150,14,0.517565
152,14,0.511526
154,14,0.514481
156,14,0.52638
158,14,0.547115
160,14,0.576526
162,14,0.6144
164,14,0.660473
166,14,0.714432
168,14,0.775919
170,14,0.844533
172,14,0.919834
174,14,1.00135
176,14,1.08856
178,14,1.18094
180,14,1.27791
-180,16,1.22854
-178,16,1.32769
-176,16,1.43003
-174,16,1.53494
-172,16,1.64181
-170,16,1.75002
-168,16,1.85894
-166,16,1.96797
-164,16,2.07649
-162,16,2.18391
-160,16,2.28966
-158,16,2.39317
-156,16,2.49391
-154,16,2.59135
-152,16,2.68502
-150,16,2.77445
