Phi[deg],Theta[deg],RealizedGainPhi
-18,6,0.0166642
-16,6,0.0145652
-14,6,0.0127505
-12,6,0.0112371
-10,6,0.0100395
-8,6,0.00916958
-6,6,0.00863664
-4,6,0.00844699
-2,6,0.00860403
0,6,0.00910823
2,6,0.00995706
4,6,0.0111451
6,6,0.012664
8,6,0.0145029
10,6,0.0166479
12,6,0.0190832
14,6,0.0217903
16,6,0.0247491
18,6,0.0279374
20,6,0.0313316
22,6,0.034907
24,6,0.0386379
26,6,0.0424979
28,6,0.0464602
30,6,0.0504981
32,6,0.0545848
34,6,0.0586942
36,6,0.0628007
38,6,0.0668797
40,6,0.0709077
42,6,0.0748625
44,6,0.0787232
46,6,0.0824706
48,6,0.086087
50,6,0.0895564
52,6,0.0928647
54,6,0.0959995
56,6,0.0989498
58,6,0.101707
60,6,0.104263
62,6,0.106613
64,6,0.108751
66,6,0.110676
68,6,0.112385
70,6,0.113877
72,6,0.115154
74,6,0.116217
76,6,0.117068
78,6,0.117709
80,6,0.118145
82,6,0.11838
84,6,0.118418
86,6,0.118264
88,6,0.117924
90,6,0.117403
92,6,0.116707
94,6,0.115843
96,6,0.114817
98,6,0.113635
100,6,0.112305
102,6,0.110834
104,6,0.109229
106,6,0.107498
108,6,0.10565
110,6,0.103692
112,6,0.101633
114,6,0.0994826
116,6,0.0972495
118,6,0.0949433
120,6,0.0925736
122,6,0.0901501
124,6,0.0876827
126,6,0.0851813
128,6,0.0826559
130,6,0.0801162
132,6,0.0775717
134,6,0.0750319
136,6,0.0725058
138,6,0.070002
140,6,0.0675287
142,6,0.0650936
144,6,0.0627039
146,6,0.060366
148,6,0.058086
150,6,0.0558693
152,6,0.0537207
154,6,0.0516445
156,6,0.0496445
158,6,0.047724
160,6,0.045886
162,6,0.044133
164,6,0.0424675
166,6,0.0408917
168,6,0.0394076
170,6,0.0380175
172,6,0.0367234
174,6,0.0355277
176,6,0.0344327
178,6,0.0334411
180,6,0.0325557
-180,8,0.0373236
-178,8,0.0364202
-176,8,0.0354984
-174,8,0.0345651
-172,8,0.0336289
-170,8,0.0326992
-168,8,0.0317869
-166,8,0.0309036
