Phi[deg],Theta[deg],RealizedGainPhi
20,8,3.22385
22,8,3.30468
24,8,3.38214
26,8,3.45587
28,8,3.52551
30,8,3.59069
32,8,3.65104
34,8,3.70623
36,8,3.75589
38,8,3.79969
40,8,3.83732
42,8,3.86845
44,8,3.89282
46,8,3.91016
48,8,3.92024
50,8,3.92285
52,8,3.91784
54,8,3.90508
56,8,3.88448
58,8,3.856
60,8,3.81965
62,8,3.77547
64,8,3.72357
66,8,3.66409
68,8,3.59724
70,8,3.52326
72,8,3.44245
74,8,3.35517
76,8,3.26181
78,8,3.1628
80,8,3.05864
82,8,2.94984
84,8,2.83696
86,8,2.7206
88,8,2.60139
90,8,2.47998
92,8,2.35703
94,8,2.23325
96,8,2.10935
98,8,1.98603
100,8,1.86402
102,8,1.74405
104,8,1.62683
106,8,1.51308
108,8,1.40348
110,8,1.29871
112,8,1.19942
114,8,1.10624
116,8,1.01976
118,8,0.940518
120,8,0.869033
122,8,0.805763
124,8,0.751116
126,8,0.705447
128,8,0.669048
130,8,0.642155
132,8,0.624934
134,8,0.617489
136,8,0.619851
138,8,0.631986
140,8,0.653789
142,8,0.685084
144,8,0.725631
146,8,0.77512
148,8,0.833178
150,8,0.899371
152,8,0.97321
154,8,1.05415
156,8,1.1416
158,8,1.23493
160,8,1.33346
162,8,1.43649
164,8,1.5433
166,8,1.65315
168,8,1.76526
170,8,1.87889
172,8,1.99327
174,8,2.10764
176,8,2.22127
178,8,2.33343
180,8,2.44343
-180,10,2.2278
-178,10,2.32657
-176,10,2.42137
-174,10,2.51163
-172,10,2.59684
-170,10,2.67655
-168,10,2.75032
-166,10,2.8178
-164,10,2.87867
-162,10,2.93267
-160,10,2.97958
-158,10,3.01924
-156,10,3.05153
-154,10,3.07638
-152,10,3.09377
-150,10,3.10371
-148,10,3.10627
-146,10,3.10154
-144,10,3.08966
-142,10,3.07082
-140,10,3.0452
-138,10,3.01307
-136,10,2.97469
-134,10,2.93036
-132,10,2.88042
-130,10,2.82521
-128,10,2.76512
-126,10,2.70052
-124,10,2.63184
-122,10,2.5595
-120,10,2.48393
-118,10,2.40558
-116,10,2.32488
-114,10,2.24229
-112,10,2.15825
-110,10,2.07321
-108,10,1.98758
-106,10,1.90179
-104,10,1.81626
-102,10,1.73137
-100,10,1.64749
-98,10,1.56499
-96,10,1.4842
-94,10,1.40543
-92,10,1.32899
-90,10,1.25513
-88,10,1.18413
-86,10,1.1162
-84,10,1.05156
-82,10,0.99041
-80,10,0.932926
-78,10,0.879268
-76,10,0.829585
-74,10,0.784008
-72,10,0.74266
-70,10,0.705648
-68,10,0.673072
-66,10,0.64502
-64,10,0.621568
-62,10,0.602786
-60,10,0.58873
-58,10,0.579449
-56,10,0.574978
-54,10,0.57534
-52,10,0.580548
-50,10,0.590597
-48,10,0.60547
-46,10,0.625133
-44,10,0.649534
-42,10,0.678605
-40,10,0.712258
-38,10,0.750387
-36,10,0.792868
-34,10,0.839557
-32,10,0.890293
-30,10,0.944898
-28,10,1.00318
-26,10,1.06493
-24,10,1.12992
-22,10,1.19793
-20,10,1.26872
-18,10,1.34203
-16,10,1.41763
-14,10,1.49525
-12,10,1.57466
-10,10,1.65558
-8,10,1.73778
-6,10,1.82101
-4,10,1.90503
-2,10,1.9896
0,10,2.07448
2,10,2.15945
4,10,2.24427
6,10,2.32871
8,10,2.41254
10,10,2.49553
12,10,2.57744
14,10,2.65803
16,10,2.73703
18,10,2.81419
20,10,2.88923
22,10,2.96186
24,10,3.03178
26,10,3.09869
28,10,3.16225
30,10,3.22215
32,10,3.27804
34,10,3.32957
36,10,3.37641
38,10,3.4182
40,10,3.45461
42,10,3.48532
44,10,3.51
46,10,3.52837
48,10,3.54016
50,10,3.54512
52,10,3.54306
54,10,3.53379
56,10,3.5172
58,10,3.4932
60,10,3.46175
62,10,3.42287
64,10,3.37662
66,10,3.32312
68,10,3.26254
70,10,3.19509
72,10,3.12105
74,10,3.04074
76,10,2.95453
78,10,2.86283
80,10,2.76609
82,10,2.66481
84,10,2.55952
86,10,2.45079
88,10,2.3392
90,10,2.22537
92,10,2.10995
94,10,1.99358
96,10,1.87695
98,10,1.76072
100,10,1.64558
102,10,1.53223
104,10,1.42135
106,10,1.31362
108,10,1.2097
110,10,1.11026
112,10,1.01592
114,10,0.927301
116,10,0.844986
118,10,0.769524
120,10,0.701427
122,10,0.641166
124,10,0.589163
126,10,0.545787
128,10,0.511352
130,10,0.486112
132,10,0.470255
134,10,0.463903
136,10,0.467105
138,10,0.47984
140,10,0.502013
142,10,0.533455
144,10,0.573925
146,10,0.623106
148,10,0.680615
150,10,0.746002
152,10,0.818754
154,10,0.898299
156,10,0.984017
158,10,1.07524
160,10,1.17126
162,10,1.27135
164,10,1.37473
166,10,1.48064
168,10,1.5883
170,10,1.69691
172,10,1.80571
174,10,1.91392
176,10,2.02081
178,10,2.12567
180,10,2.2278
-180,12,1.98856
-178,12,2.07739
-176,12,2.16189
-174,12,2.24156
-172,12,2.31595
-170,12,2.38467
-168,12,2.44737
-166,12,2.50376
-164,12,2.55361
-162,12,2.59673
-160,12,2.63299
-158,12,2.66228
-156,12,2.68456
-154,12,2.69981
-152,12,2.70807
-150,12,2.70941
-148,12,2.70392
-146,12,2.69174
-144,12,2.67304
-142,12,2.64802
-140,12,2.61691
-138,12,2.57997
-136,12,2.53748
-134,12,2.48976
-132,12,2.43715
-130,12,2.38001
-128,12,2.31872
-126,12,2.25368
-124,12,2.18531
-122,12,2.11403
-120,12,2.0403
-118,12,1.96454
-116,12,1.88722
-114,12,1.80877
-112,12,1.72964
-110,12,1.65025
-108,12,1.57103
-106,12,1.49237
-104,12,1.41466
-102,12,1.33825
-100,12,1.26347
-98,12,1.19064
-96,12,1.12004
-94,12,1.0519
-92,12,0.986479
-90,12,0.923957
-88,12,0.864515
-86,12,0.808306
-84,12,0.755461
-82,12,0.706093
-80,12,0.660297
-78,12,0.618158
-76,12,0.579746
-74,12,0.545124
-72,12,0.514347
-70,12,0.487466
-68,12,0.464527
-66,12,0.445573
-64,12,0.430647
-62,12,0.419787
-60,12,0.41303
-58,12,0.410411
-56,12,0.411956
-54,12,0.417689
-52,12,0.427623
-50,12,0.441762
-48,12,0.460096
-46,12,0.482602
-44,12,0.509238
-42,12,0.539945
-40,12,0.574643
-38,12,0.613231
-36,12,0.655585
-34,12,0.701559
-32,12,0.750987
-30,12,0.803681
-28,12,0.859436
-26,12,0.918028
-24,12,0.979223
-22,12,1.04277
-20,12,1.10843
-18,12,1.17593
-16,12,1.24503
-14,12,1.31546
-12,12,1.38699
-10,12,1.45938
-8,12,1.53241
-6,12,1.60586
-4,12,1.67955
-2,12,1.75328
0,12,1.8269
2,12,1.90023
4,12,1.97315
6,12,2.0455
8,12,2.11715
10,12,2.18797
12,12,2.25782
14,12,2.32654
16,12,2.394
18,12,2.46001
20,12,2.52438
22,12,2.58691
24,12,2.64738
26,12,2.70552
28,12,2.76107
30,12,2.81374
32,12,2.86321
34,12,2.90916
36,12,2.95125
38,12,2.98914
40,12,3.02247
42,12,3.05091
44,12,3.07412
46,12,3.09179
48,12,3.10361
50,12,3.10932
52,12,3.10868
54,12,3.10149
56,12,3.08761
58,12,3.06693
60,12,3.03939
62,12,3.00499
64,12,2.96378
66,12,2.91585
68,12,2.86138
70,12,2.80056
72,12,2.73367
74,12,2.66099
76,12,2.5829
78,12,2.49977
80,12,2.41205
82,12,2.32018
84,12,2.22468
86,12,2.12606
88,12,2.02485
90,12,1.92163
92,12,1.81696
94,12,1.71144
96,12,1.60567
98,12,1.50024
100,12,1.39578
102,12,1.29288
104,12,1.19216
106,12,1.09423
108,12,0.999687
110,12,0.909125
112,12,0.823125
114,12,0.742255
116,12,0.66706
118,12,0.598065
120,12,0.535765
122,12,0.480624
124,12,0.433067
126,12,0.393474
128,12,0.362177
130,12,0.339454
132,12,0.32552
134,12,0.320529
136,12,0.324562
138,12,0.337629
140,12,0.359663
142,12,0.390521
144,12,0.42998
146,12,0.477739
148,12,0.533424
150,12,0.596585
152,12,0.666706
154,12,0.743205
156,12,0.825447
158,12,0.912747
160,12,1.00438
162,12,1.09959
164,12,1.19759
166,12,1.29759
168,12,1.3988
170,12,1.50043
172,12,1.6017
174,12,1.70185
176,12,1.80016
